,species,organ,metabolite,concentration_ppm,stError_ppm
213,serrata,all,chrysinG,1.528675691,NA
214,siphocampuloides,all,chrysinG,2.550918718,NA
215,splendens,all,chrysinG,0,NA
216,tessellata,all,chrysinG,1.169822309,NA
217,alpina,all,wogonin,0.05032078,NA
218,altissima,all,wogonin,0,NA
219,astinae,all,wogonin,0.211813463,NA
220,coerulea,all,wogonin,3.80205715,NA
221,costaricana,all,wogonin,0.246091924,NA
222,epilobiifolia,all,wogonin,0,NA
223,formosa,all,wogonin,0,NA
224,fruticosa,all,wogonin,0,NA
225,galericulata,all,wogonin,0.423517235,NA
226,holmgreniorum,all,wogonin,0.264739406,NA
227,hookeri,all,wogonin,0,NA
228,isocheila,all,wogonin,0,NA
229,lateriflora,all,wogonin,0.249848843,NA
230,longifolia,all,wogonin,0.373223878,NA
231,lutilaba,all,wogonin,0,NA
232,microphylla,all,wogonin,3.270768435,NA
233,orientalis,all,wogonin,2.374016485,NA
234,ovata,all,wogonin,0,NA
235,parvula,all,wogonin,1.253330208,NA
236,potosina,all,wogonin,0.164454342,NA
237,pulchella,all,wogonin,5.554810816,NA
238,resinosa,all,wogonin,0,NA
239,sapphirina,all,wogonin,0.643146188,NA
240,serrata,all,wogonin,3.057419296,NA
241,siphocampuloides,all,wogonin,0.168759717,NA
242,splendens,all,wogonin,0,NA
243,tessellata,all,wogonin,0,NA
244,alpina,all,wogonoside,0,NA
245,altissima,all,wogonoside,0,NA
246,astinae,all,wogonoside,7.490831671,NA
247,coerulea,all,wogonoside,11.17471764,NA
248,costaricana,all,wogonoside,3.022467307,NA
249,epilobiifolia,all,wogonoside,0,NA
250,formosa,all,wogonoside,0.419837964,NA
251,fruticosa,all,wogonoside,0,NA
252,galericulata,all,wogonoside,3.278689255,NA
253,holmgreniorum,all,wogonoside,16.46108887,NA
254,hookeri,all,wogonoside,0,NA
255,isocheila,all,wogonoside,0,NA
256,lateriflora,all,wogonoside,1.412844426,NA
257,longifolia,all,wogonoside,0.385431016,NA
258,lutilaba,all,wogonoside,0.363652151,NA
259,microphylla,all,wogonoside,30.77852732,NA
260,orientalis,all,wogonoside,9.23116435,NA
